Ölçüm;Yýl;Adana;Adýyaman;Afyonkarahisar;Aksaray;Amasya;Ankara;Antalya;Ardahan;Artvin;Aydýn;Aðrý;Balýkesir;Bartýn;Batman;Bayburt;Bilecik;Bingöl;Bitlis;Bolu;Burdur;Bursa;Denizli;Diyarbakýr;Düzce;Edirne;Elazýð;Erzincan;Erzurum;Eskiþehir;Gaziantep;Giresun;Gümüþhane;Hakkari;Hatay;Isparta;Iðdýr;Kahramanmaraþ;Karabük;Karaman;Kars;Kastamonu;Kayseri;Kilis;Kocaeli;Konya;Kütahya;Kýrklareli;Kýrýkkale;Kýrþehir;Malatya;Manisa;Mardin;Mersin;Muðla;Muþ;Nevþehir;Niðde;Ordu;Osmaniye;Rize;Sakarya;Samsun;Siirt;Sinop;Sivas;Tekirdað;Tokat;Trabzon;Tunceli;Uþak;Van;Yalova;Yozgat;Zonguldak;Çanakkale;Çankýrý;Çorum;Ýstanbul;Ýzmir;Þanlýurfa;Þýrnak
;2008;6;0;2;0;0;27;5;0;0;1;0;0;0;1;0;0;0;1;1;1;9;0;2;0;0;0;1;2;4;0;1;0;2;2;0;0;0;0;0;1;0;0;0;4;1;1;2;0;0;0;5;1;2;0;2;0;0;1;1;0;1;7;0;1;1;0;1;1;0;1;4;1;0;0;0;0;1;69;26;1;0
;2009;6;0;2;0;0;26;2;0;0;0;0;0;0;1;0;0;0;1;1;0;9;0;2;0;0;1;1;2;7;0;1;0;1;2;0;0;1;0;0;1;0;1;0;2;2;1;2;0;0;0;5;0;2;0;0;0;0;1;1;0;1;7;0;2;1;0;0;1;0;1;4;0;0;0;0;0;1;71;27;1;0
;2010;7;2;1;3;0;30;6;1;0;12;0;0;1;2;0;0;3;4;3;0;11;5;2;2;0;2;1;2;11;2;2;0;1;6;0;2;2;2;0;2;0;7;0;8;2;1;5;1;7;3;6;2;2;9;0;3;3;2;6;0;8;5;2;3;1;0;0;2;3;3;2;2;0;3;0;0;2;137;57;3;0
;2011;10;2;1;4;0;28;8;2;1;16;1;0;2;2;0;0;3;2;2;1;10;11;2;2;0;8;2;5;11;2;2;1;0;8;1;1;3;4;0;2;2;8;1;11;4;3;2;2;4;8;9;2;5;9;0;3;3;4;3;2;7;6;2;6;5;0;0;6;2;2;1;4;5;3;0;1;2;147;64;3;0
;2012;13;2;1;3;2;29;9;2;1;18;2;18;3;3;2;0;4;4;2;1;18;9;4;2;0;8;1;5;12;2;7;2;1;7;1;2;4;4;0;1;2;6;1;9;4;3;1;1;7;9;9;4;11;11;1;5;2;4;2;5;4;10;3;5;2;2;1;9;6;2;1;3;5;8;8;1;2;159;65;2;2
;2013;11;2;4;4;2;36;10;2;5;9;1;22;6;3;1;0;3;6;2;2;16;8;4;2;3;10;1;4;12;2;6;2;1;9;3;2;9;3;2;2;3;10;1;9;5;3;2;1;5;13;7;5;13;7;4;5;2;7;3;4;9;8;3;6;3;2;1;7;10;2;2;4;5;11;9;1;2;189;60;2;1
;2014;10;1;2;2;2;44;9;2;4;11;1;11;6;3;1;0;2;4;3;2;15;6;4;2;3;5;1;2;11;7;5;1;2;8;2;1;6;3;2;2;3;7;2;6;10;4;2;1;1;7;6;3;5;10;4;3;1;7;4;4;5;5;5;6;3;6;2;10;3;2;2;3;3;8;8;1;1;178;56;4;2
;2015;14;1;3;3;2;44;14;2;3;9;3;8;8;3;1;0;2;3;4;3;16;4;3;1;3;6;1;1;12;7;7;1;2;9;2;2;6;3;3;2;4;8;3;15;14;5;5;1;1;13;7;4;16;8;2;3;1;9;2;2;10;9;5;5;4;8;2;16;1;3;2;2;2;8;4;1;2;224;62;4;1
;2016;15;3;3;3;3;58;12;0;2;13;3;7;4;5;1;0;4;4;4;4;15;7;6;2;4;6;0;1;12;12;5;1;2;11;4;2;4;4;2;2;5;11;2;14;13;3;4;1;1;11;7;2;14;11;2;4;1;9;4;5;7;7;2;5;3;8;2;16;4;2;1;2;4;11;4;1;2;201;62;3;0
;2017;18;3;3;3;6;68;14;2;4;10;4;11;3;1;1;1;4;3;5;2;14;7;6;5;7;2;0;1;13;8;3;1;1;13;2;1;7;5;3;2;5;10;2;20;18;3;4;1;1;10;8;1;17;12;3;3;1;9;2;3;10;9;1;4;3;12;2;10;2;2;1;4;2;11;8;1;2;227;69;3;0
;2018;12;3;2;1;3;61;14;1;2;10;3;15;3;1;1;1;4;2;3;4;14;8;5;3;9;5;1;2;13;8;2;2;1;10;3;2;5;3;1;2;7;9;1;17;12;3;3;1;2;9;10;3;11;11;5;3;1;10;3;3;10;5;1;4;3;10;2;9;2;3;2;2;3;9;9;1;2;211;71;7;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
